"ID"	"PeakTime"	"Location"	"Truck"	"Bus"	"LocationType"	"Sex"	"Alcohol"	"Speeding"	"Weather"	"Visibility"	"HomeDistance"	"Age"	"Fatal"
"1"	"pm"	"City"	"Y"	"Y"	"Light"	"F"	"Y"	"Y"	"Raining"	"Poor"	29.2490339046308	51.664254101102	0
"2"	"pm"	"Suburban"	"N"	"Y"	"Light"	"F"	"Y"	"Y"	"Wet"	"Moderate"	18.2447867405616	39.9661492082588	0
"3"	"am"	"OuterSuburban"	"Y"	"Y"	"Stop"	"M"	"N"	"N"	"Wet"	"Moderate"	21.3027850766278	53.7905712027573	0
"4"	"pm"	"City"	"N"	"Y"	"Stop"	"M"	"Y"	"Y"	"Fine"	"Good"	19.1988924504593	49.7277086214831	1
"5"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"F"	"N"	"Y"	"Wet"	"Moderate"	20.3096035897721	50.5240172763888	0
"6"	"am"	"Suburban"	"Y"	"Y"	"Stop"	"M"	"N"	"Y"	"Wet"	"Moderate"	11.006915771419	35.9541862600396	0
"7"	"am"	"Suburban"	"Y"	"Y"	"Light"	"F"	"N"	"Y"	"Raining"	"Poor"	18.1629017360926	32.2271554657125	0
"8"	"am"	"OuterSuburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Raining"	"Poor"	21.0421632329602	47.7144505168267	0
"9"	"pm"	"Suburban"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	15.9310802784974	46.8338721255228	0
"10"	"pm"	"OuterSuburban"	"Y"	"Y"	"GiveWay"	"F"	"Y"	"Y"	"Wet"	"Moderate"	23.3537101861343	42.2312467462688	1
"11"	"pm"	"Suburban"	"N"	"Y"	"Light"	"M"	"Y"	"N"	"Fine"	"Good"	28.9120342415587	37.1631981344224	0
"12"	"pm"	"Suburban"	"Y"	"N"	"Light"	"M"	"N"	"N"	"Wet"	"Moderate"	20.0231721730759	42.3181734329382	1
"13"	"am"	"City"	"N"	"Y"	"Light"	"M"	"Y"	"Y"	"Raining"	"Poor"	15.8610582837471	48.0992197984308	1
"14"	"pm"	"Suburban"	"Y"	"Y"	"Light"	"M"	"N"	"N"	"Fine"	"Good"	16.7539635818177	56.5524588319331	0
"15"	"am"	"Suburban"	"N"	"Y"	"Stop"	"M"	"Y"	"Y"	"Fine"	"Good"	16.9528784960231	51.2036553105767	0
"16"	"am"	"OuterSuburban"	"Y"	"Y"	"Light"	"F"	"Y"	"N"	"Fine"	"Good"	28.8143154720698	51.148056392754	1
"17"	"am"	"City"	"N"	"Y"	"Stop"	"M"	"Y"	"Y"	"Fine"	"Good"	18.6791564922391	62.9129251435385	0
